"","age","educ","black","married","nodegree","re74","re75","re78","hisp","sample","treat","educ_cat4"
"27",53,12,0,1,0,25738.88867,24742.25781,25564.66992,0,2,0,2
"28",53,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"29",50,12,0,1,0,21162.04102,21485.66211,21698.9375,0,2,0,2
"30",53,9,0,1,1,20838.76172,20989.74219,21192.07617,0,2,0,1
"31",46,16,0,1,0,0,0,0,0,2,0,4
"32",42,8,0,1,1,20766.26953,21845.51563,24078.07617,0,2,0,1
"33",55,15,0,1,0,22319.9668,25243.54883,25564.66992,0,2,0,3
"34",55,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"35",55,12,0,1,0,17743.12109,14498.03223,11609.01953,0,2,0,2
"36",55,12,0,1,0,12472.69238,11511.77441,11572.07715,0,2,0,2
"37",55,10,0,1,1,0,0,0,0,2,0,1
"38",52,16,0,1,0,5478.109863,22507.93555,23877.10547,0,2,0,4
"39",49,12,0,1,0,25862.32227,20400.72656,18444.98242,0,2,0,2
"40",49,9,0,1,1,21064.07813,25243.54883,25564.66992,0,2,0,1
"41",52,12,0,1,0,21067.99609,22785.43555,23745.58789,0,2,0,2
"42",52,10,0,1,1,13873.56836,12489.29004,13785.71094,1,2,0,1
"43",45,12,0,1,0,25862.32227,23548.11328,24738.62109,0,2,0,2
"44",40,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"45",48,17,0,1,0,0,0,0,0,2,0,4
"46",48,13,0,1,0,0,0,0,0,2,0,3
"47",48,12,0,1,0,23146.77734,5297.564453,25564.66992,0,2,0,2
"48",48,12,0,1,0,0,0,0,0,2,0,2
"49",44,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"50",54,12,0,1,0,21058.19922,21303.04883,22508.73047,0,2,0,2
"51",54,12,0,1,0,22415.9707,21118.64453,23322.95898,0,2,0,2
"52",54,12,0,1,0,15127.49902,12247.59668,13698.52539,0,2,0,2
"53",51,15,0,1,0,5593.706543,12396.19336,2523.957031,0,2,0,3
"54",54,8,0,1,1,25276.50195,22241.17773,25564.66992,0,2,0,1
"55",44,12,0,1,0,8270.06543,8359.016602,12610.91895,0,2,0,2
"56",51,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"57",51,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"58",47,18,0,1,0,17999.7832,23184.67773,25564.66992,0,2,0,4
"59",43,14,0,1,0,21996.6875,23066.51563,594.0460815,0,2,0,3
"60",47,12,0,1,0,25862.32227,25243.54883,20609.85156,0,2,0,2
"61",47,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"62",43,12,0,1,0,0,0,0,0,2,0,2
"63",43,12,0,1,0,25862.32227,25243.54883,13119.25684,0,2,0,2
"64",50,18,0,1,0,23203.59766,25243.54883,25564.66992,0,2,0,4
"65",43,8,0,1,1,23089.95898,21548.32227,20738.41406,0,2,0,1
"66",47,12,0,1,0,0,0,0,1,2,0,2
"67",53,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"68",53,12,0,1,0,25862.32227,21005.85547,19050.85156,0,2,0,2
"69",53,12,0,1,0,20533.11523,18263.08008,18072.5957,0,2,0,2
"70",50,12,0,1,0,25862.32227,25243.54883,25168.63867,0,2,0,2
"71",37,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"72",46,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"73",42,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"74",42,12,0,1,0,20039.38086,25243.54883,25564.66992,0,2,0,2
"75",46,14,0,1,0,16497.02734,14267.08105,20896.53125,0,2,0,3
"76",46,12,0,1,0,22380.70508,20753.41992,16993.85547,0,2,0,2
"77",46,12,0,1,0,16743.89453,16445.90234,17302.70117,0,2,0,2
"78",46,12,0,1,0,13319.0957,20069.51563,10431.27148,0,2,0,2
"79",36,12,0,1,0,0,0,0,0,2,0,2
"80",55,16,0,1,0,0,3512.612793,16794.36328,0,2,0,4
"81",55,11,0,1,1,12190.55762,13099.79004,17521.4043,0,2,0,1
"82",55,12,0,1,0,18178.07813,15833.61328,14973.80371,0,2,0,2
"83",55,12,0,1,0,0,0,0,0,2,0,2
"84",55,12,0,1,0,25862.32227,18941.61328,22853.04102,0,2,0,2
"85",55,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"86",49,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"87",55,8,0,1,1,25862.32227,25243.54883,24395.78711,0,2,0,1
"88",52,15,0,1,0,23955.95508,25243.54883,24075.12109,0,2,0,3
"89",41,14,0,1,0,25862.32227,15319.79004,16342.17773,0,2,0,3
"90",49,12,0,1,0,25862.32227,14965.30664,24521.39453,0,2,0,2
"91",49,12,0,1,0,19298.77734,21340.64453,14762.48828,0,2,0,2
"92",52,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"93",52,13,0,1,0,0,0,16420.49805,0,2,0,3
"94",41,12,0,1,0,18133.01367,16830.82227,17496.2832,0,2,0,2
"95",52,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"96",52,12,0,1,0,25862.32227,13368.33887,25564.66992,0,2,0,2
"97",45,17,0,1,0,25862.32227,4323.628906,0,0,2,0,4
"98",49,4,0,1,1,9206.594727,13948.40332,20462.08008,0,2,0,1
"99",45,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"100",45,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"101",40,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"102",40,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"103",48,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"104",48,16,0,1,0,18716.875,16524.67773,20781.26953,0,2,0,4
"105",40,7,0,1,1,0,0,1105.339478,0,2,0,1
"106",48,14,0,1,0,9130.183594,0,0,0,2,0,3
"107",44,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"108",54,14,0,1,0,24686.76172,25243.54883,25564.66992,0,2,0,3
"109",54,14,0,1,0,25862.32227,25243.54883,13363.08105,0,2,0,3
"110",48,12,0,1,0,25862.32227,25243.54883,3391.382568,0,2,0,2
"111",48,12,0,1,0,13270.11426,13959.14551,13111.86816,0,2,0,2
"112",54,13,0,1,0,15390.04102,22506.14453,24317.46875,0,2,0,3
"113",44,16,0,1,0,25862.32227,25243.54883,0,0,2,0,4
"114",51,16,0,1,0,13483.67383,0,25564.66992,0,2,0,4
"115",54,12,0,1,0,10940.5459,10274.66113,9899.290039,0,2,0,2
"116",54,12,0,1,0,0,0,0,0,2,0,2
"117",54,12,0,1,0,0,0,0,0,2,0,2
"118",54,12,0,1,0,18197.66992,16540.79102,15053.60059,0,2,0,2
"119",54,12,0,1,0,18618.91211,18288.14453,5630.138184,0,2,0,2
"120",39,18,0,1,0,19273.30664,17885.32227,10115.03809,0,2,0,4
"121",55,12,0,0,0,6118.790039,6237.483887,5056.780273,0,2,0,2
"122",44,12,0,1,0,25862.32227,19639.83789,24599.71484,0,2,0,2
"123",44,12,0,1,0,22602.10156,20205.58008,25564.66992,0,2,0,2
"124",48,5,0,1,1,25862.32227,25243.54883,25564.66992,0,2,0,1
"125",51,12,0,1,0,25862.32227,22382.61328,9682.064453,0,2,0,2
"126",51,12,0,1,0,2380.509277,0,0,0,2,0,2
"127",51,12,0,1,0,19353.63672,19620.14453,19820.74609,0,2,0,2
"128",51,12,0,1,0,21293.3125,19215.5332,24382.48828,0,2,0,2
"129",51,12,0,1,0,22848.96875,22430.95117,17265.75781,0,2,0,2
"130",51,10,0,1,1,25862.32227,19817.08008,4.433179855,0,2,0,1
"131",39,12,0,1,0,1289.19751,0,1202.869385,0,2,0,2
"132",39,12,0,1,0,0,0,0,0,2,0,2
"133",16,10,0,0,1,156.7413483,41.17741776,7573.348633,0,2,0,1
"134",54,0,0,1,1,20840.7207,25243.54883,25564.66992,1,2,0,1
"135",47,16,0,1,0,7125.853516,0,11145.01367,0,2,0,4
"136",38,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"137",43,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"138",47,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"139",47,12,0,1,0,8301.413086,9581.806641,10858.33496,0,2,0,2
"140",47,12,0,1,0,7864.49707,15432.58105,14221.64063,0,2,0,2
"141",43,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"142",43,12,0,1,0,0,0,0,0,2,0,2
"143",47,16,0,1,0,25397.97461,24629.4668,21731.44727,1,2,0,4
"144",53,16,0,1,0,0,0,0,0,2,0,4
"145",53,16,0,1,0,25862.32227,0,8827.938477,0,2,0,4
"146",53,15,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"147",18,12,0,0,0,1244.134399,9023.225586,25564.66992,0,2,0,2
"148",53,14,0,1,0,25862.32227,25243.54883,23989.41406,0,2,0,3
"149",53,13,0,1,0,25862.32227,25243.54883,24995.74414,0,2,0,3
"150",53,11,0,1,1,15564.41504,14657.37109,4112.513184,0,2,0,1
"151",53,12,0,1,0,22120.12305,22511.51563,0,0,2,0,2
"152",53,12,0,1,0,15299.91406,25243.54883,25564.66992,0,2,0,2
"153",53,12,0,1,0,25862.32227,20663.90234,25564.66992,0,2,0,2
"154",53,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"155",53,10,0,1,1,15356.7334,9304.306641,19680.36328,0,2,0,1
"156",50,12,0,1,0,25862.32227,0,13021.72656,0,2,0,2
"157",50,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"158",50,12,0,1,0,23419.11523,25146.87109,25564.66992,0,2,0,2
"159",37,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"160",53,8,0,1,1,17304.24414,16066.35449,11418.39355,0,2,0,1
"161",54,12,0,0,0,23091.91797,21464.17773,20898.00977,0,2,0,2
"162",50,7,0,1,1,20325.43359,20692.54883,22060.98047,0,2,0,1
"163",19,12,0,0,0,336.9938965,2518.983887,7118.208984,0,2,0,2
"164",42,17,0,1,0,3757.873779,7046.709473,11280.96484,0,2,0,4
"165",42,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"166",19,12,0,0,0,0,0,18573.54492,1,2,0,2
"167",42,12,0,1,0,0,6353.85498,15885.56055,0,2,0,2
"168",42,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"169",42,12,0,1,0,18850.10547,23311.79102,21131.49023,0,2,0,2
"170",42,10,0,1,1,25862.32227,0,3698.749512,0,2,0,1
"171",46,14,0,1,0,22986.11719,15309.04883,0,0,2,0,3
"172",36,14,0,1,0,22723.57617,25243.54883,0,0,2,0,3
"173",46,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"174",46,12,0,1,0,10184.26855,11597.70996,12121.79102,0,2,0,2
"175",46,12,0,1,0,25862.32227,25243.54883,0,0,2,0,2
"176",46,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"177",46,10,0,1,1,25852.52539,21965.4668,0,0,2,0,1
"178",36,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"179",55,18,0,1,0,0,0,0,0,2,0,4
"180",55,16,0,1,0,0,0,0,0,2,0,4
"181",55,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"182",55,14,0,1,0,25862.32227,25243.54883,589.612915,0,2,0,3
"183",22,12,0,0,0,8232.838867,0,13543.36426,0,2,0,2
"184",55,13,0,1,0,19904.19141,18452.85547,16826.87305,0,2,0,3
"185",55,12,0,1,0,7795.922363,6199.887207,5854.75293,0,2,0,2
"186",55,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"187",55,12,0,1,0,11510.69238,12437.37109,7542.316406,0,2,0,2
"188",55,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"189",55,12,0,1,0,15748.58691,16429.79102,17861.28125,0,2,0,2
"190",55,12,0,1,0,0,0,0,0,2,0,2
"191",55,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"192",55,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"193",55,12,0,1,0,25862.32227,25243.54883,0,0,2,0,2
"194",42,4,0,1,1,7756.737305,6550.790527,11817.37988,1,2,0,1
"195",52,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"196",55,8,0,1,1,1191.234253,25243.54883,12754.25781,0,2,0,1
"197",49,14,0,1,0,7970.297363,10647.04883,19593.17578,0,2,0,3
"198",52,16,0,1,0,15911.20605,13778.32227,737.3855591,0,2,0,4
"199",41,15,0,1,0,21497.07617,25243.54883,25564.66992,0,2,0,3
"200",49,11,0,1,1,25862.32227,10525.30664,25564.66992,0,2,0,1
"201",35,12,0,1,0,25862.32227,21768.5332,25564.66992,0,2,0,2
"202",49,12,0,1,0,22372.86719,25243.54883,14656.0918,0,2,0,2
"203",49,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"204",49,12,0,1,0,22508.05664,25243.54883,10468.21484,0,2,0,2
"205",49,12,0,1,0,22807.82422,23818.45117,25564.66992,0,2,0,2
"206",49,12,0,1,0,25156.98633,20128.59766,25564.66992,0,2,0,2
"207",55,5,0,1,1,14243.87012,14424.62891,14178.78613,0,2,0,1
"208",52,13,0,1,0,21657.73438,21815.08008,20469.46875,0,2,0,3
"209",55,4,0,1,1,3898.940918,25243.54883,0,0,2,0,1
"210",41,12,0,1,0,20315.63672,19525.25781,22062.45703,0,2,0,2
"211",41,12,0,1,0,23754.15039,23123.80664,23846.07422,0,2,0,2
"212",52,11,0,1,1,25862.32227,25243.54883,23290.44922,0,2,0,1
"213",52,12,0,1,0,15576.1709,15799.59668,13377.8584,0,2,0,2
"214",52,12,0,1,0,25862.32227,23329.69336,25564.66992,0,2,0,2
"215",52,12,0,1,0,23295.68164,23657.32227,22591.48438,0,2,0,2
"216",52,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"217",52,12,0,1,0,10864.13477,25243.54883,20964.50781,0,2,0,2
"218",52,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"219",41,9,0,1,1,5025.519531,0,0,0,2,0,1
"220",41,7,0,1,1,0,0,0,0,2,0,1
"221",45,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"222",50,12,0,0,0,16236.44434,14349.43555,18833.625,0,2,0,2
"223",45,13,0,1,0,25388.17969,24754.79102,25564.66992,0,2,0,3
"224",45,12,0,1,0,18050.72461,14449.69336,18026.78711,0,2,0,2
"225",45,12,0,1,0,3720.647705,6640.306641,16132.34082,0,2,0,2
"226",45,12,0,1,0,25862.32227,25243.54883,25298.67969,0,2,0,2
"227",34,12,0,1,0,22218.08594,22110.48438,7122.64209,0,2,0,2
"228",40,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"229",40,14,0,1,0,23033.14063,6020.85498,21766.91211,0,2,0,3
"230",40,12,0,1,0,0,0,0,0,2,0,2
"231",40,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"232",40,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"233",33,10,0,1,1,18648.30078,23856.04883,19930.09766,0,2,0,1
"234",33,8,0,1,1,7310.024414,22611.77344,13999.98145,0,2,0,1
"235",48,15,0,1,0,0,0,0,0,2,0,3
"236",48,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"237",43,15,1,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"238",48,12,0,1,0,13848.09766,19740.09766,11161.26855,0,2,0,2
"239",48,12,0,1,0,15056.96582,13550.95117,16349.56641,0,2,0,2
"240",48,12,0,1,0,13197.62109,13189.30664,7743.287109,0,2,0,2
"241",48,12,0,1,0,21755.69922,25243.54883,0,0,2,0,2
"242",54,13,0,1,0,0,0,0,0,2,0,3
"243",54,11,0,1,1,25862.32227,25243.54883,24271.6582,0,2,0,1
"244",32,12,0,1,0,2500.024414,4314.677246,11761.22559,0,2,0,2
"245",51,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"246",54,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"247",54,12,0,1,0,25862.32227,15273.24219,24930.72461,0,2,0,2
"248",54,12,0,1,0,0,0,0,0,2,0,2
"249",54,12,0,1,0,20682.01953,23591.08008,6468.009277,0,2,0,2
"250",54,12,0,1,0,19845.41406,18003.48438,21966.40625,0,2,0,2
"251",54,12,0,1,0,19765.08398,19428.58008,18666.64258,0,2,0,2
"252",39,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"253",44,14,0,1,0,22847.00977,21902.80664,25564.66992,0,2,0,3
"254",55,12,0,0,0,17135.74805,17586.33789,17500.7168,0,2,0,2
"255",54,8,0,1,1,14355.54785,15300.09668,15861.91699,0,2,0,1
"256",54,7,0,1,1,21620.50977,25243.54883,0,0,2,0,1
"257",44,12,0,1,0,25049.22656,25243.54883,8127.496094,0,2,0,2
"258",44,12,0,1,0,19622.05664,6907.064453,11415.4375,0,2,0,2
"259",44,12,0,1,0,25862.32227,9812.757813,13039.45898,0,2,0,2
"260",48,12,0,1,0,25862.32227,19595.08008,16241.69238,1,2,0,2
"261",51,12,0,1,0,8834.333984,8831.661133,14206.86328,0,2,0,2
"262",51,12,0,1,0,932.6110229,6391.45166,0,0,2,0,2
"263",51,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"264",51,12,0,1,0,21193.38867,20107.11328,24112.06445,0,2,0,2
"265",51,12,0,1,0,15662.37891,22246.54883,23166.32031,0,2,0,2
"266",51,12,0,1,0,11716.41504,11232.4834,12495.65625,0,2,0,2
"267",51,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"268",51,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"269",54,6,0,1,1,24518.26563,24765.5332,0,0,2,0,1
"270",39,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"271",39,13,0,1,0,17672.58594,8772.581055,1644.709717,0,2,0,3
"272",39,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"273",39,12,0,1,0,25862.32227,25243.54883,0,0,2,0,2
"274",39,12,0,1,0,18977.45898,18261.29102,20581.77539,0,2,0,2
"275",31,8,0,1,1,0,0,0,0,2,0,1
"276",52,12,0,0,0,6461.662109,1849.403198,0,0,2,0,2
"277",37,12,1,1,0,0,0,0,0,2,0,2
"278",29,13,0,1,0,8275.943359,6645.677246,23795.83008,0,2,0,3
"279",38,16,0,1,0,25482.22461,24634.83789,25564.66992,0,2,0,4
"280",43,18,0,1,0,0,0,0,0,2,0,4
"281",47,16,0,1,0,20299.96289,15292.93555,14969.37012,0,2,0,4
"282",17,11,0,0,1,0,0,15124.53125,0,2,0,1
"283",43,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"284",47,15,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"285",17,10,0,0,1,0,0,8117.151855,0,2,0,1
"286",43,15,0,1,0,4400.513184,6486.338867,0,0,2,0,3
"287",38,12,0,1,0,18597.36133,12546.58105,16401.28711,0,2,0,2
"288",38,12,0,1,0,23368.17578,23139.91992,22619.56055,0,2,0,2
"289",38,12,0,1,0,25862.32227,20757,25564.66992,0,2,0,2
"290",47,13,0,1,0,22251.39258,25243.54883,25564.66992,0,2,0,3
"291",43,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"292",47,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"293",47,12,0,1,0,0,0,0,0,2,0,2
"294",47,12,0,1,0,0,3330,24119.45313,0,2,0,2
"295",47,12,0,1,0,0,0,0,0,2,0,2
"296",47,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"297",43,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"298",43,12,0,1,0,497.6537781,0,59.10906219,0,2,0,2
"299",43,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"300",47,9,0,1,1,25862.32227,25243.54883,17580.51367,0,2,0,1
"301",43,9,0,1,1,25862.32227,25243.54883,25564.66992,0,2,0,1
"302",53,18,0,1,0,22431.64648,21795.38672,21687.11523,0,2,0,4
"303",53,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"304",50,16,0,1,0,20376.375,25243.54883,25564.66992,0,2,0,4
"305",54,18,0,0,0,25862.32227,25243.54883,0,0,2,0,4
"306",18,12,0,0,0,0,784.1613159,0,0,2,0,2
"307",18,12,0,0,0,0,10589.75781,0,0,2,0,2
"308",53,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"309",50,14,0,1,0,16111.05078,4731.822754,0,0,2,0,3
"310",53,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"311",37,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"312",53,12,0,1,0,17319.91797,15826.45117,2572.721924,0,2,0,2
"313",53,12,0,1,0,5695.588379,11329.16113,0,0,2,0,2
"314",53,12,0,1,0,25862.32227,25243.54883,24459.33008,0,2,0,2
"315",53,12,0,1,0,23861.91016,21972.62891,25474.5293,0,2,0,2
"316",53,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"317",53,12,0,1,0,23281.9668,21276.19336,21657.56055,0,2,0,2
"318",53,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"319",53,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"320",53,10,0,1,1,25862.32227,25243.54883,106.3963165,0,2,0,1
"321",50,12,0,1,0,25862.32227,23612.56445,25564.66992,0,2,0,2
"322",50,12,0,1,0,22180.85938,24058.35547,0,0,2,0,2
"323",50,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"324",50,12,0,1,0,18144.76953,18605.0332,25564.66992,0,2,0,2
"325",50,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"326",37,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"327",50,8,0,1,1,20834.84375,11952.19336,16305.23535,0,2,0,1
"328",54,12,0,0,0,836.6069336,707.1774292,121.1735764,0,2,0,2
"329",37,12,0,1,0,25862.32227,23539.16211,25564.66992,0,2,0,2
"330",37,12,0,1,0,25778.07422,25243.54883,25564.66992,0,2,0,2
"331",37,12,0,1,0,20611.48633,18184.30664,18291.29883,0,2,0,2
"332",19,13,0,0,0,1581.128296,153.9677429,4877.975586,0,2,0,3
"333",19,12,0,0,0,7051.401367,7086.09668,20627.58594,0,2,0,2
"334",42,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"335",43,0,0,1,1,244.9083557,1305.145142,2006.752686,1,2,0,1
"336",20,14,0,0,0,6667.384766,5245.64502,1672.786499,0,2,0,3
"337",42,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"338",42,11,0,1,1,18140.85156,17165.61328,16987.94531,0,2,0,1
"339",53,5,0,1,1,19541.72656,24287.51563,23875.62891,1,2,0,1
"340",42,12,0,1,0,0,0,0,0,2,0,2
"341",42,12,0,1,0,25862.32227,26.85483932,25564.66992,0,2,0,2
"342",42,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"343",42,12,0,1,0,10437.01465,0,0,0,2,0,2
"344",42,12,0,1,0,1963.185303,4189.35498,1551.612915,0,2,0,2
"345",20,12,0,0,0,0,281.080658,17611.54492,0,2,0,2
"346",20,12,0,0,0,94.04480743,0,15031.43457,0,2,0,2
"347",36,16,0,1,0,21653.81641,23021.75781,20441.39258,0,2,0,4
"348",46,14,0,1,0,0,13901.85449,0,0,2,0,3
"349",46,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"350",46,12,0,1,0,22464.95313,20397.14453,22894.41797,0,2,0,2
"351",46,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"352",46,12,0,1,0,13848.09766,12335.32227,0,0,2,0,2
"353",46,12,0,1,0,25860.36328,22797.9668,21592.54102,0,2,0,2
"354",46,12,0,1,0,25862.32227,22230.43555,25564.66992,0,2,0,2
"355",21,11,0,0,1,109.7189407,150.3871002,6002.525391,0,2,0,1
"356",36,12,0,1,0,18775.6543,15724.40332,21461.02344,0,2,0,2
"357",36,12,0,1,0,0,0,9402.774414,0,2,0,2
"358",46,9,0,1,1,24351.72656,24330.48438,25564.66992,0,2,0,1
"359",21,12,0,0,0,10088.26465,12363.96777,15560.46094,0,2,0,2
"360",42,3,0,1,1,13256.39941,16060.9834,14425.56641,0,2,0,1
"361",35,18,0,1,0,4329.979492,19541.37109,0,0,2,0,4
"362",55,12,0,1,0,21385.39648,2864.516113,0,0,2,0,2
"363",41,18,0,1,0,24941.4668,20703.29102,25564.66992,0,2,0,4
"364",52,18,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"365",55,9,0,1,1,6449.90625,10804.59668,9506.214844,0,2,0,1
"366",23,12,0,0,0,8520.851563,8625.774414,10036.71875,0,2,0,2
"367",55,8,0,1,1,0,8840.613281,0,0,2,0,1
"368",55,8,0,1,1,16834.01953,16469.17773,15448.15332,0,2,0,1
"369",24,13,0,0,0,16408.85938,12075.72559,25564.66992,0,2,0,3
"370",52,16,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,4
"371",35,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"372",52,15,0,1,0,7974.21582,10276.45117,7995.978516,0,2,0,3
"373",41,14,0,1,0,15958.22852,14870.41895,15352.10156,0,2,0,3
"374",35,12,0,1,0,24245.92578,25243.54883,0,0,2,0,2
