	Y	age	Z
467	0	42	0
468	0	26	1
469	1	38	1
470	0	38	0
471	0	32	0
472	1	68	0
473	0	54	0
474	0	41	0
475	0	31	1
476	0	24	0
477	1	44	1
478	0	43	0
479	0	47	0
480	1	62	1
481	0	75	0
482	0	32	0
483	0	67	1
484	0	23	0
485	1	51	1
486	0	38	0
487	0	18	1
488	0	34	1
489	0	30	1
490	0	70	0
491	1	62	1
492	0	43	0
493	1	57	0
494	0	19	1
495	1	58	1
496	0	74	0
497	0	25	0
498	1	73	1
499	0	42	0
500	1	48	1
